                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5679,                 3.2736,                  2.215,                  1.464,                0.99426,                0.24405,                0.79143,                0.55186,                0.99426,                0.24405,                0.75755,                0.46145,                 1.0921,                 2.4998,                 2.0925,                 1.1552,             0.00040972,             0.00040972,             0.00040972
                      1,                  1.232,                 2.2334,                 1.0699,                 1.2032,                 0.9035,                0.86706,                0.97867,                0.66975,                0.89753,                0.86111,                0.96681,                 0.5412,                0.99595,                  2.521,                 1.3767,                 1.0794,             0.00074458,             0.00074458,             0.00074458
                      2,                 1.1663,                 2.0924,                0.96497,                 1.1746,                0.98471,                0.97647,                0.97809,                0.71039,                0.98471,                0.97647,                0.97523,                0.55408,                 1.0084,                 2.1875,                0.80336,                 1.0894,             0.00099693,             0.00099693,             0.00099693
                      3,                 1.1515,                 2.0841,                0.90985,                 1.1725,                 0.9863,                0.97647,                0.97832,                0.68317,                 0.9863,                0.97647,                0.97525,                0.57403,                 1.1045,                 2.2715,                0.75666,                 1.1383,             0.00087875,             0.00087875,             0.00087875
                      4,                 1.1169,                 2.0232,                0.84906,                 1.1535,                0.99535,                0.97647,                 0.9768,                0.69148,                0.99535,                0.97647,                0.97523,                0.61867,                 1.0065,                 2.2216,                0.61712,                  1.093,             0.00087875,             0.00087875,             0.00087875
                      5,                 1.1023,                 1.9874,                0.80653,                 1.1368,                0.99577,                0.97647,                0.98023,                0.68465,                0.99577,                0.97647,                0.97522,                0.60984,                 1.0324,                  2.284,                0.58545,                 1.1053,               0.000755,               0.000755,               0.000755
                      6,                  1.062,                 1.9065,                 0.7505,                 1.1241,                0.99215,                0.97356,                0.97505,                0.60784,                0.99519,                0.97647,                0.97525,                0.53908,                 1.3748,                 2.9394,                0.61159,                 1.2725,             0.00063125,             0.00063125,             0.00063125
                      7,                 1.0401,                 1.8763,                0.71203,                 1.1137,                0.99114,                0.97356,                 0.9767,                 0.6756,                0.99418,                0.97647,                0.97523,                0.58707,                 1.1888,                 2.7997,                0.53853,                  1.168,              0.0005075,              0.0005075,              0.0005075
                      8,                 1.0015,                 1.7755,                0.66912,                 1.0933,                0.99511,                0.97647,                 0.9755,                0.54857,                0.99206,                0.97356,                0.97106,                0.47925,                 1.5551,                 3.1055,                0.52012,                 1.3423,             0.00038375,             0.00038375,             0.00038375
                      9,                0.99697,                 1.7698,                0.64715,                 1.0866,                 0.9965,                0.97647,                0.97543,                0.68453,                 0.9965,                0.97647,                0.97531,                0.59984,                 1.1507,                 2.3813,                0.48782,                 1.1341,                0.00026,                0.00026,                0.00026
